행정구역,성별,2015(총계),2015(30세미만),2015(30~39세),2015(40~49세),2015(50~59세),2015(60~69세),2015(70~79세),2015(80세이상),2016(총계),2016(30세미만),2016(30~39세),2016(40~49세),2016(50~59세),2016(60~69세),2016(70~79세),2016(80세이상),2017(총계),2017(30세미만),2017(30~39세),2017(40~49세),2017(50~59세),2017(60~69세),2017(70~79세),2017(80세이상),2018(총계),2018(30세미만),2018(30~39세),2018(40~49세),2018(50~59세),2018(60~69세),2018(70~79세),2018(80세이상),2019(총계),2019(30세미만),2019(30~39세),2019(40~49세),2019(50~59세),2019(60~69세),2019(70~79세),2019(80세이상),2020(총계),2020(30세미만),2020(30~39세),2020(40~49세),2020(50~59세),2020(60~69세),2020(70~79세),2020(80세이상)
대구광역시,여자,158062,23342,25661,34349,31541,17965,16161,9043,160855,23615,24701,33476,32788,19889,16104,10282,163303,25371,24380,32039,33383,21086,16494,10550,166017,27015,24174,30745,33950,22128,16720,11285,170304,30401,24084,29471,33861,23310,16941,12236,176574,33129,24710,29193,33922,25476,17131,13013
인천광역시,총계,433570,49026,104034,109638,94913,40653,23551,11755,445788,51531,104216,108515,98749,45450,24569,12758,450057,53779,101907,105767,99265,49799,25824,13716,452004,52750,99773,102521,100134,54653,27397,14776,470367,62110,100596,101320,101647,59823,28866,16005,487905,69876,102073,101300,101914,65657,29966,17119
인천광역시,남자,280271,28282,73766,73337,63918,25982,11214,3772,286806,29508,74018,72445,65967,29006,11784,4078,286854,30542,71564,70372,65708,31634,12613,4421,284883,28957,69222,67823,65719,34513,13742,4907,293748,33596,69037,67072,66309,37616,14783,5335,300837,36576,69111,66556,66107,41264,15511,5712
인천광역시,여자,153299,20744,30268,36301,30995,14671,12337,7983,158982,22023,30198,36070,32782,16444,12785,8680,163203,23237,30343,35395,33557,18165,13211,9295,167121,23793,30551,34698,34415,20140,13655,9869,176619,28514,31559,34248,35338,22207,14083,10670,187068,33300,32962,34744,35807,24393,14455,11407
광주광역시,총계,244627,42212,57283,58463,46137,20751,12975,6806,244935,41926,55509,56806,47663,22398,13372,7261,247469,43455,54102,55815,48698,24035,13871,7493,244706,44192,51034,52931,48874,25484,14240,7951,248179,47933,50134,51433,48649,27084,14559,8387,255546,52503,50412,50885,48574,29446,14968,8758
광주광역시,남자,141465,21113,36315,36478,28516,11905,5303,1835,141165,21142,35126,35234,29202,12828,5673,1960,141950,21866,34122,34506,29545,13816,5966,2129,139591,22119,32094,32484,29673,14685,6230,2306,141285,24093,31596,31474,29464,15719,6484,2455,144569,25483,31824,31223,29527,17103,6812,2597
광주광역시,여자,103162,21099,20968,21985,17621,8846,7672,4971,103770,20784,20383,21572,18461,9570,7699,5301,105519,21589,19980,21309,19153,10219,7905,5364,105115,22073,18940,20447,19201,10799,8010,5645,106894,23840,18538,19959,19185,11365,8075,5932,110977,27020,18588,19662,19047,12343,8156,6161
대전광역시,총계,261850,58015,59678,57074,46882,21320,12589,6292,270173,62196,60156,56247,47847,23796,13042,6889,277329,65041,61240,55491,49002,25893,13446,7216,276947,67241,59160,52721,48985,27416,13851,7573,282659,70753,59468,51041,49330,29476,14414,8177,300526,84240,60528,50800,49400,31889,15175,8494
대전광역시,남자,158169,31872,39735,36426,29859,12638,5694,1945,162558,34076,40341,35663,30307,14094,5963,2114,165653,35184,40969,34945,30705,15289,6234,2327,163785,36083,39162,32980,30333,16126,6598,2503,166183,37537,39390,31850,30378,17351,6973,2704,173644,43538,39574,31451,30237,18615,7394,2835
대전광역시,여자,103681,26143,19943,20648,17023,8682,6895,4347,107615,28120,19815,20584,17540,9702,7079,4775,111676,29857,20271,20546,18297,10604,7212,4889,113162,31158,19998,19741,18652,11290,7253,5070,116476,33216,20078,19191,18952,12125,7441,5473,126882,40702,20954,19349,19163,13274,7781,5659
울산광역시,총계,158912,19802,37816,39884,34038,15359,8262,3751,159509,19614,36705,38566,35091,17043,8468,4022,157621,19120,35024,36837,35260,18347,8822,4211,156602,18972,33216,34905,35077,20072,9662,4698,157188,21271,32572,33295,34398,21080,9686,4886,157953,21844,31745,32105,34239,22850,10000,5170
울산광역시,남자,106729,13167,28602,27813,22968,9486,3669,1024,106547,12878,27752,26731,23701,10499,3890,1096,104430,12468,26198,25393,23752,11356,4108,1155,102677,12105,24528,23926,23565,12475,4681,1397,101860,13392,23817,22547,23018,12940,4720,1426,101297,13459,22948,21608,22862,13938,4928,1554
울산광역시,여자,52183,6635,9214,12071,11070,5873,4593,2727,52962,6736,8953,11835,11390,6544,4578,2926,53191,6652,8826,11444,11508,6991,4714,3056,53925,6867,8688,10979,11512,7597,4981,3301,55328,7879,8755,10748,11380,8140,4966,3460,56656,8385,8797,10497,11377,8912,5072,3616
세종특별자치시,총계,34504,8539,9248,7007,4529,2361,1721,1099,43198,11793,11671,8624,5422,2845,1758,1085,48400,12573,13519,9923,6141,3263,1810,1171,54485,13800,15467,11070,7118,3866,1950,1214,60264,14214,17620,12568,8001,4405,2124,1332,66095,16554,18654,13709,8513,4966,2259,1440
세종특별자치시,남자,22226,4954,6405,4879,3195,1587,828,378,27979,6889,8207,6088,3698,1873,858,366,30360,7027,9273,6716,4018,2083,854,389,33839,7577,10552,7378,4547,2439,958,388,37163,7558,11952,8286,5125,2744,1088,410,40222,8533,12556,8997,5450,3050,1179,457
세종특별자치시,여자,12278,3585,2843,2128,1334,774,893,721,15219,4904,3464,2536,1724,972,900,719,18040,5546,4246,3207,2123,1180,956,782,20646,6223,4915,3692,2571,1427,992,826,23101,6656,5668,4282,2876,1661,1036,922,25873,8021,6098,4712,3063,1916,1080,983
경기도,총계,1951437,216110,494699,508449,401097,175961,106898,48223,2017675,224266,495335,508466,422418,199478,113068,54644,2060301,233923,492217,504536,434625,218130,118980,57890,2109413,251839,493147,493108,444243,239122,125249,62705,2162237,279635,494712,481719,448773,258003,130866,68529,2255684,312976,510415,485159,455002,283576,135546,73010
경기도,남자,1294694,125241,358521,352684,273037,112527,54568,18116,1334106,129878,361109,351765,286155,127368,57836,19995,1352624,135391,356138,347428,292013,138977,61160,21517,1370383,144297,352419,337168,295932,151722,65328,23517,1387911,157873,349365,326752,296616,162776,68975,25554,1429690,172053,355210,326667,298568,178022,71601,27569
경기도,여자,656743,90869,136178,155765,128060,63434,52330,30107,683569,94388,134226,156701,136263,72110,55232,34649,707677,98532,136079,157108,142612,79153,57820,36373,739030,107542,140728,155940,148311,87400,59921,39188,774326,121762,145347,154967,152157,95227,61891,42975,825994,140923,155205,158492,156434,105554,63945,45441
강원도,총계,272086,44293,45113,56503,56209,30575,25923,13470,277522,47609,45339,55135,57263,32528,25210,14438,274774,43772,45292,53736,57202,34610,25013,15149,275449,44045,44390,51292,56947,37422,25142,16211,270390,41856,42849,48049,55929,39442,24865,17400,282343,52179,42996,46714,54545,42746,24618,18545
강원도,남자,173261,30174,29688,38229,38556,19499,12758,4357,177097,32585,31282,37131,38933,20632,12074,4460,172983,28368,31512,35920,38489,22018,11931,4745,172486,28387,30812,34068,38014,23963,12101,5141,167503,26061,29674,31595,37152,25333,12170,5518,172403,30842,29419,30390,36208,27455,12127,5962
강원도,여자,98825,14119,15425,18274,17653,11076,13165,9113,100425,15024,14057,18004,18330,11896,13136,9978,101791,15404,13780,17816,18713,12592,13082,10404,102963,15658,13578,17224,18933,13459,13041,11070,102887,15795,13175,16454,18777,14109,12695,11882,109940,21337,13577,16324,18337,15291,12491,12583
충청북도,총계,253729,36974,50442,54388,50292,25884,22788,12961,266463,44202,52244,54163,52288,28012,21797,13757,266347,44891,52495,53214,52093,29286,20479,13889,269754,46413,51841,51277,52709,31857,20773,14884,271837,51008,51084,48814,51931,33481,19877,15642,284440,60292,51991,48288,51837,36260,19729,16043
충청북도,남자,158472,21991,34662,36235,34031,16562,10835,4156,165809,26530,36332,35971,34931,17792,10081,4172,164990,27134,36425,35117,34486,18417,9310,4101,167445,28403,36032,33776,34745,20291,9694,4504,168026,31240,35221,31927,34240,21244,9355,4799,173136,35113,35452,31235,34004,22936,9411,4985
충청북도,여자,95257,14983,15780,18153,16261,9322,11953,8805,100654,17672,15912,18192,17357,10220,11716,9585,101357,17757,16070,18097,17607,10869,11169,9788,102309,18010,15809,17501,17964,11566,11079,10380,103811,19768,15863,16887,17691,12237,10522,10843,111304,25179,16539,17053,17833,13324,10318,11058
충청남도,총계,349719,53071,73421,71034,64001,36116,31921,20155,357531,56934,72420,70233,65744,39012,31154,22034,357454,57856,73319,69946,66317,39697,28748,21571,358560,59413,71906,67382,66728,41892,28602,22637,359528,62009,70100,64951,66273,43626,28496,24073,374617,71655,71221,65088,66268,47007,28984,24394
충청남도,남자,224703,30414,53124,49237,44843,23907,15891,7287,227924,32616,52510,48469,45814,25613,15333,7569,225695,33054,52883,47907,45616,25677,13509,7049,225334,33919,51340,45979,45891,27095,13717,7393,224687,35115,49723,44203,45516,28173,14072,7885,232192,39253,50626,44168,45306,30403,14539,7897
충청남도,여자,125016,22657,20297,21797,19158,12209,16030,12868,129607,24318,19910,21764,19930,13399,15821,14465,131759,24802,20436,22039,20701,14020,15239,14522,133226,25494,20566,21403,20837,14797,14885,15244,134841,26894,20377,20748,20757,15453,14424,16188,142425,32402,20595,20920,20962,16604,14445,16497
전라북도,총계,295645,40079,52629,61336,56312,33724,30834,20731,309387,44528,52467,61524,59408,37178,31486,22796,301349,44676,50671,59903,58775,37065,28800,21459,298879,45008,48307,57487,59079,38685,28240,22073,298816,47238,47005,55124,58573,40101,27748,23027,306844,53691,47172,54030,58372,42564,28006,23009
전라북도,남자,176826,23417,34372,39998,37988,21264,13549,6238,183887,25931,34424,39881,39806,23538,13831,6476,177383,25674,33028,38347,38988,23191,12353,5802,174933,25504,31217,36439,39010,24303,12499,5961,174375,26665,30055,34836,38496,25304,12740,6279,178141,29682,30106,33861,38190,26796,13131,6375
전라북도,여자,118819,16662,18257,21338,18324,12460,17285,14493,125500,18597,18043,21643,19602,13640,17655,16320,123966,19002,17643,21556,19787,13874,16447,15657,123946,19504,17090,21048,20069,14382,15741,16112,124441,20573,16950,20288,20077,14797,15008,16748,128703,24009,17066,20169,20182,15768,14875,16634
전라남도,총계,289337,24866,47980,60337,56077,35269,39576,25232,305935,28239,48769,60936,61250,38694,40362,27685,298425,28032,47489,59497,61296,38266,36504,27341,295766,28476,44290,55949,61641,40384,36355,28671,291175,30545,42938,54054,59954,41017,33591,29076,297055,36657,42225,52387,59671,43552,32913,29650
전라남도,남자,176278,14421,32515,42371,39761,22772,17410,7028,184634,16531,33193,42548,43107,24937,17281,7037,179011,16427,32105,41028,42710,24654,15358,6729,176914,16671,29687,38210,42980,26359,15774,7233,174082,18040,28579,36455,41723,26863,14991,7431,176878,21286,28034,34905,41453,28560,15033,7607
전라남도,여자,113059,10445,15465,17966,16316,12497,22166,18204,121301,11708,15576,18388,18143,13757,23081,20648,119414,11605,15384,18469,18586,13612,21146,20612,118852,11805,14603,17739,18661,14025,20581,21438,117093,12505,14359,17599,18231,14154,18600,21645,120177,15371,14191,17482,18218,14992,17880,22043
경상북도,총계,427116,56248,80804,86527,82298,47577,44792,28870,443791,61776,79546,85469,86508,54344,44802,31346,435391,62567,77048,82351,84772,55161,42037,31455,428712,61622,73550,77724,84363,57338,41365,32750,427642,63137,71508,74764,82915,59586,40864,34868,442830,73398,71451,74109,82830,64246,40775,36021
경상북도,남자,262147,32845,56227,59313,56379,29727,19414,8242,271685,36631,55703,58335,59172,34082,19292,8470,264547,37338,53674,55753,57411,34280,17791,8300,259171,36933,50820,52062,56748,35801,18060,8747,257885,37787,49119,49672,55818,37449,18458,9582,265001,42456,48998,48706,55613,40529,18833,9866
경상북도,여자,164969,23403,24577,27214,25919,17850,25378,20628,172106,25145,23843,27134,27336,20262,25510,22876,170844,25229,23374,26598,27361,20881,24246,23155,169541,24689,22730,25662,27615,21537,23305,24003,169757,25350,22389,25092,27097,22137,22406,25286,177829,30942,22453,25403,27217,23717,21942,26155
경상남도,총계,488562,51828,102834,111911,99742,52795,42727,26725,499887,53137,102951,111105,104479,58717,41821,27677,492343,52971,99408,107606,104432,60957,39543,27426,489952,53650,95499,102913,104599,65059,39998,28234,489409,57544,92911,98263,103299,68114,39666,29612,499881,62828,91655,97950,103073,73834,40215,30326
경상남도,남자,306508,31463,73920,76615,67450,32717,17569,6774,312507,32138,74278,75756,70310,36116,17200,6709,305413,31923,71167,72715,69555,37391,16256,6406,301607,31920,67638,69041,69333,40001,16961,6713,298983,33809,64945,65589,68154,41889,17406,7191,303252,36017,63479,64786,67970,45308,18229,7463
경상남도,여자,182054,20365,28914,35296,32292,20078,25158,19951,187380,20999,28673,35349,34169,22601,24621,20968,186930,21048,28241,34891,34877,23566,23287,21020,188345,21730,27861,33872,35266,25058,23037,21521,190426,23735,27966,32674,35145,26225,22260,22421,196629,26811,28176,33164,35103,28526,21986,22863
제주특별자치도,총계,97005,9911,20773,25693,20354,9477,6479,4318,103092,10442,21537,26423,22186,10997,6879,4628,107969,11588,22377,26905,23208,11962,7098,4831,111824,12746,22793,26633,24053,13035,7444,5120,113045,13155,22718,26300,24284,13793,7377,5418,118755,15285,23199,26851,24978,15168,7709,5565
제주특별자치도,남자,59426,5317,13727,16823,13515,5915,3057,1072,63094,5695,14121,17242,14654,6854,3342,1186,65981,6285,14627,17465,15364,7445,3495,1300,67883,6763,14873,17064,15818,8127,3760,1478,67915,6890,14710,16614,15809,8541,3703,1648,70606,7766,14840,16807,16103,9417,3931,1742
제주특별자치도,여자,37579,4594,7046,8870,6839,3562,3422,3246,39998,4747,7416,9181,7532,4143,3537,3442,41988,5303,7750,9440,7844,4517,3603,3531,43941,5983,7920,9569,8235,4908,3684,3642,45130,6265,8008,9686,8475,5252,3674,3770,48149,7519,8359,10044,8875,5751,3778,3823
