붕장어,민어,광어,우럭,낙지,문어,감성돔,돌돔,방어,참돔,전복,갑오징어,고등어,숭어,전어,쏨뱅이,송어,복어,참치
21.16948,45.37021,15.55317,15.01926,25.65074,51.69263,9.99577,14.53337,9.44137,15.039760845057533,69.96666054080022,16.998717691990944,26.03935749159289,13.0091,9.78899,29.80423,18.46151,12.86954,48.36625
100.0,57.65847,15.22988,14.38869,24.39534,44.70122,11.36191,22.0286,10.23904,17.277846185574088,67.23822234735663,13.983474312447099,27.521370987120537,12.75239,30.46425,8.82296,13.33239,12.59362,54.80711
12.41565,33.47822,16.08388,14.11341,26.289,59.86773,15.04295,14.35732,17.92824,16.924454752362,89.52997010912085,16.856600038890033,31.430323048521036,14.35028,64.03659,8.82488,12.28633,11.67624,62.20183
9.12064,20.78473,16.72022,16.74007,31.06026,42.04896,19.35649,19.8155,41.34284,27.694870827442635,47.98476451627662,24.374256526891312,27.3062753343399,30.69024,39.71358,8.09443,37.81096,12.56417,51.45256
8.09059,10.8216,16.36364,15.78556,29.24023,37.47167,17.74515,20.80329,85.53576,20.67143848580514,39.98250445794157,16.377745751149543,26.175083392125913,21.30391,12.72102,7.87037,19.8443,12.19479,51.58636
7.90238,9.48875,17.38537,15.16715,33.06787,47.24722,13.89383,11.01494,89.37172,14.595484620822182,51.75543727083477,14.295236986022466,28.20701823873905,23.87168,5.40248,6.79615,20.37245,12.19031,59.52396
6.54584,12.46751,15.33743,12.97261,37.45246,48.71323,14.39893,10.70381,40.63864,15.690187563196304,72.31933616704414,13.158279287626106,30.478380229222427,24.63797,3.73033,6.59321,22.41591,12.39709,53.79178
5.72321,13.43866,14.04107,12.50016,23.69051,38.39993,11.73386,8.85049,18.50441,13.55390900327134,72.1913034326173,9.797963637361883,21.335950122617987,22.12206,3.05494,6.70716,14.46615,10.9426,43.91252
6.87937,12.00914,14.76703,12.25817,27.89137,36.10552,10.49895,8.29609,10.27041,13.751081391119348,45.92978311852309,15.941146219431293,24.92864222062087,21.81222,4.12724,5.37495,12.06867,10.89394,47.52634
10.08604,10.16542,14.5641,12.55969,29.04433,35.87954,11.27293,9.22691,7.65207,14.114702923157871,73.25912147759247,26.71731157710521,24.689215076750624,20.2521,3.46401,4.69764,15.71322,13.84133,46.04432
10.05083,13.47579,15.62487,13.02382,27.80751,39.52601,9.41513,11.65128,8.21543,15.336170133598701,71.95250228513257,38.67268938919772,26.442037903369705,18.64012,3.88269,6.98372,16.32203,12.59618,47.93605
10.13469,22.51706,13.61983,11.69481,26.63662,38.82501,8.54128,11.45218,7.38768,13.888718227987097,53.94485962917211,25.202004958021643,24.732112302747467,12.63267,4.20534,6.58041,12.00466,12.07251,50.81046
19.47108,41.94269,12.19991,10.87154,28.10647,43.48808,8.23271,10.35491,8.53424,12.272263771875643,85.31564712671288,13.621763716743304,24.970254506668496,12.9438,9.60206,7.35567,12.73254,11.61863,51.80978
12.92523,50.27335,12.99117,11.50019,27.63594,47.69791,10.32738,16.12165,9.51051,12.395815690069316,90.70341680735709,13.379140696589117,29.215943202708576,11.70505,36.31486,5.47098,13.09296,11.56933,54.13748
7.88574,20.24186,12.77991,10.95412,27.49382,48.35089,14.1339,15.64344,13.13073,13.69731159632146,92.53177103996524,21.3212227339693,26.827421046599408,12.09812,49.66966,4.67523,12.23192,11.0335,49.90013
7.28461,14.23056,15.12745,12.29658,29.77158,38.88903,16.96413,16.23625,38.65984,14.244020597533915,48.42905721410107,34.31242688101938,28.614162993159933,14.91812,37.03378,5.43,19.72779,11.6692,48.85087
5.88709,10.38052,15.95329,12.22744,28.13464,34.05759,14.2152,11.17434,73.01192,12.11798861002448,42.52210589961796,29.994402655274175,25.853074146135018,16.56786,10.33378,5.66047,17.34632,11.49827,48.45204
5.55548,13.13713,17.56462,13.80356,30.24851,39.19055,16.42702,11.48419,72.65085,18.445527127627937,51.978226089721595,21.989572717040698,23.84673925697161,17.27974,4.15541,6.12716,16.35148,13.04751,58.05538
6.02793,15.75035,18.05564,12.79016,28.8542,53.15416,14.48535,9.27301,38.92488,13.795247083476312,81.38429098414659,16.17161173083522,26.74483894447876,20.56835,3.19193,5.80963,21.53694,13.98345,50.48141
